check_id,release,stage,section,entity,metric,expected,actual,unit,difference,status,method,source_document,source_page,source_url,notes,release_gate
N0013,FY 2025-26,adopted,Revenue,Gas Tax,amount,7017000000,7017000000,cents,0,PASS,independent transcription → database,Budget in Brief,4,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/budget-in-brief.pdf,,True
N0014,FY 2025-26,adopted,Revenue,Gas Tax,published percentage,1,1.00,percent,0.00,PASS,independent transcription → database,Budget in Brief,4,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/budget-in-brief.pdf,Published percentages are rounded and sum to 101%.,True
N0015,FY 2025-26,adopted,Revenue,Misc. State Revenues,amount,14795500000,14795500000,cents,0,PASS,independent transcription → database,Budget in Brief,4,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/budget-in-brief.pdf,,True
N0016,FY 2025-26,adopted,Revenue,Misc. State Revenues,published percentage,2,2.00,percent,0.00,PASS,independent transcription → database,Budget in Brief,4,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/budget-in-brief.pdf,Published percentages are rounded and sum to 101%.,True
N0017,FY 2025-26,adopted,Revenue,Miscellaneous,amount,59751700000,59751700000,cents,0,PASS,independent transcription → database,Budget in Brief,4,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/budget-in-brief.pdf,,True
N0018,FY 2025-26,adopted,Revenue,Miscellaneous,published percentage,7,7.00,percent,0.00,PASS,independent transcription → database,Budget in Brief,4,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/budget-in-brief.pdf,Published percentages are rounded and sum to 101%.,True
N0019,FY 2025-26,adopted,Tax rates,Countywide Operating,millage rate,4.5740,4.5740,mills,0.0000,PASS,independent transcription → database,Budget in Brief,6,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/budget-in-brief.pdf,,True
N0020,FY 2025-26,adopted,Tax rates,UMSA Operating,millage rate,1.9090,1.9090,mills,0.0000,PASS,independent transcription → database,Budget in Brief,6,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/budget-in-brief.pdf,,True
N0021,FY 2025-26,adopted,Tax rates,Fire Rescue Operating,millage rate,2.3965,2.3965,mills,0.0000,PASS,independent transcription → database,Budget in Brief,6,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/budget-in-brief.pdf,,True
N0022,FY 2025-26,adopted,Tax rates,Library System,millage rate,0.2812,0.2812,mills,0.0000,PASS,independent transcription → database,Budget in Brief,6,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/budget-in-brief.pdf,,True
N0023,FY 2025-26,adopted,Tax rates,Countywide Debt Service,millage rate,0.4171,0.4171,mills,0.0000,PASS,independent transcription → database,Budget in Brief,6,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/budget-in-brief.pdf,,True
N0024,FY 2025-26,adopted,Tax rates,Total to County,millage rate,9.5778,9.5778,mills,0.0000,PASS,independent transcription → database,Budget in Brief,6,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/budget-in-brief.pdf,,True
N0025,FY 2025-26,adopted,Tax rates,Other,millage rate,7.3539,7.3539,mills,0.0000,PASS,independent transcription → database,Budget in Brief,6,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/budget-in-brief.pdf,,True
N0026,FY 2026-27,proposed,Release headlines,FY 2026-27 proposed,net_operating_cents,902167600000,902167600000,cents,0,PASS,independent transcription → database,Budget in Brief,3,https://www.miamidade.gov/resources/budget/fy-26-27/proposed/budget-in-brief.pdf,,True
N0027,FY 2026-27,proposed,Release headlines,FY 2026-27 proposed,capital_cents,523954800000,523954800000,cents,0,PASS,independent transcription → database,Budget in Brief,3,https://www.miamidade.gov/resources/budget/fy-26-27/proposed/budget-in-brief.pdf,,True
N0028,FY 2026-27,proposed,Release headlines,FY 2026-27 proposed,total_budget_cents,1426122400000,1426122400000,cents,0,PASS,independent transcription → database,Budget in Brief,3,https://www.miamidade.gov/resources/budget/fy-26-27/proposed/budget-in-brief.pdf,,True
N0029,FY 2026-27,proposed,Release headlines,FY 2026-27 proposed,employees,31942,31942,positions,0,PASS,independent transcription → database,Budget in Brief,3,https://www.miamidade.gov/resources/budget/fy-26-27/proposed/budget-in-brief.pdf,,True
N0030,FY 2026-27,proposed,Revenue,Proprietary,amount,392518000000,392518000000,cents,0,PASS,independent transcription → database,Budget in Brief,4,https://www.miamidade.gov/resources/budget/fy-26-27/proposed/budget-in-brief.pdf,,True
N0031,FY 2026-27,proposed,Revenue,Proprietary,published percentage,44,44.00,percent,0.00,PASS,independent transcription → database,Budget in Brief,4,https://www.miamidade.gov/resources/budget/fy-26-27/proposed/budget-in-brief.pdf,Published percentages are rounded and sum to 101%.,True
N0032,FY 2026-27,proposed,Revenue,Federal and State Grants,amount,35845700000,35845700000,cents,0,PASS,independent transcription → database,Budget in Brief,4,https://www.miamidade.gov/resources/budget/fy-26-27/proposed/budget-in-brief.pdf,,True
N0033,FY 2026-27,proposed,Revenue,Federal and State Grants,published percentage,4,4.00,percent,0.00,PASS,independent transcription → database,Budget in Brief,4,https://www.miamidade.gov/resources/budget/fy-26-27/proposed/budget-in-brief.pdf,Published percentages are rounded and sum to 101%.,True
N0034,FY 2026-27,proposed,Revenue,Property Tax,amount,329790000000,329790000000,cents,0,PASS,independent transcription → database,Budget in Brief,4,https://www.miamidade.gov/resources/budget/fy-26-27/proposed/budget-in-brief.pdf,,True
N0035,FY 2026-27,proposed,Revenue,Property Tax,published percentage,37,37.00,percent,0.00,PASS,independent transcription → database,Budget in Brief,4,https://www.miamidade.gov/resources/budget/fy-26-27/proposed/budget-in-brief.pdf,Published percentages are rounded and sum to 101%.,True
N0036,FY 2026-27,proposed,Revenue,Sales Tax,amount,49414600000,49414600000,cents,0,PASS,independent transcription → database,Budget in Brief,4,https://www.miamidade.gov/resources/budget/fy-26-27/proposed/budget-in-brief.pdf,,True
N0037,FY 2026-27,proposed,Revenue,Sales Tax,published percentage,5,5.00,percent,0.00,PASS,independent transcription → database,Budget in Brief,4,https://www.miamidade.gov/resources/budget/fy-26-27/proposed/budget-in-brief.pdf,Published percentages are rounded and sum to 101%.,True
N0038,FY 2026-27,proposed,Revenue,Gas Tax,amount,6631500000,6631500000,cents,0,PASS,independent transcription → database,Budget in Brief,4,https://www.miamidade.gov/resources/budget/fy-26-27/proposed/budget-in-brief.pdf,,True
N0039,FY 2026-27,proposed,Revenue,Gas Tax,published percentage,1,1.00,percent,0.00,PASS,independent transcription → database,Budget in Brief,4,https://www.miamidade.gov/resources/budget/fy-26-27/proposed/budget-in-brief.pdf,Published percentages are rounded and sum to 101%.,True
N0040,FY 2026-27,proposed,Revenue,Misc. State Revenues,amount,15485500000,15485500000,cents,0,PASS,independent transcription → database,Budget in Brief,4,https://www.miamidade.gov/resources/budget/fy-26-27/proposed/budget-in-brief.pdf,,True
N0041,FY 2026-27,proposed,Revenue,Misc. State Revenues,published percentage,2,2.00,percent,0.00,PASS,independent transcription → database,Budget in Brief,4,https://www.miamidade.gov/resources/budget/fy-26-27/proposed/budget-in-brief.pdf,Published percentages are rounded and sum to 101%.,True
N0042,FY 2026-27,proposed,Revenue,Miscellaneous,amount,72482300000,72482300000,cents,0,PASS,independent transcription → database,Budget in Brief,4,https://www.miamidade.gov/resources/budget/fy-26-27/proposed/budget-in-brief.pdf,,True
N0043,FY 2026-27,proposed,Revenue,Miscellaneous,published percentage,8,8.00,percent,0.00,PASS,independent transcription → database,Budget in Brief,4,https://www.miamidade.gov/resources/budget/fy-26-27/proposed/budget-in-brief.pdf,Published percentages are rounded and sum to 101%.,True
N0044,FY 2026-27,proposed,Tax rates,Countywide Operating,millage rate,4.5740,4.5740,mills,0.0000,PASS,independent transcription → database,Budget in Brief,6,https://www.miamidade.gov/resources/budget/fy-26-27/proposed/budget-in-brief.pdf,,True
N0045,FY 2026-27,proposed,Tax rates,UMSA Operating,millage rate,1.9090,1.9090,mills,0.0000,PASS,independent transcription → database,Budget in Brief,6,https://www.miamidade.gov/resources/budget/fy-26-27/proposed/budget-in-brief.pdf,,True
N0046,FY 2026-27,proposed,Tax rates,Fire Rescue Operating,millage rate,2.3965,2.3965,mills,0.0000,PASS,independent transcription → database,Budget in Brief,6,https://www.miamidade.gov/resources/budget/fy-26-27/proposed/budget-in-brief.pdf,,True
N0047,FY 2026-27,proposed,Tax rates,Library System,millage rate,0.2812,0.2812,mills,0.0000,PASS,independent transcription → database,Budget in Brief,6,https://www.miamidade.gov/resources/budget/fy-26-27/proposed/budget-in-brief.pdf,,True
N0048,FY 2026-27,proposed,Tax rates,Countywide Debt Service,millage rate,0.3937,0.3937,mills,0.0000,PASS,independent transcription → database,Budget in Brief,6,https://www.miamidade.gov/resources/budget/fy-26-27/proposed/budget-in-brief.pdf,,True
N0049,FY 2026-27,proposed,Tax rates,Total to County,millage rate,9.5544,9.5544,mills,0.0000,PASS,independent transcription → database,Budget in Brief,6,https://www.miamidade.gov/resources/budget/fy-26-27/proposed/budget-in-brief.pdf,,True
N0050,FY 2026-27,proposed,Tax rates,Other,millage rate,7.3539,7.3539,mills,0.0000,PASS,independent transcription → database,Budget in Brief,6,https://www.miamidade.gov/resources/budget/fy-26-27/proposed/budget-in-brief.pdf,,True
N0051,FY 2025-26,adopted,Department rows,Office of the Mayor — Policy Formulation,source row present,1,1,record,0,PASS,fresh appendix extraction → database,Appendix C / Appendix J,1,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0052,FY 2025-26,adopted,Department rows,Office of the Mayor — Policy Formulation,operating budget,895300000,895300000,cents,0,PASS,fresh appendix extraction → database,Appendix C,1,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0053,FY 2025-26,adopted,Department rows,Office of the Mayor — Policy Formulation,capital budget,0,0,cents,0,PASS,fresh appendix extraction → database,Appendix J,,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-j.pdf,,True
N0054,FY 2025-26,adopted,Department rows,Office of the Mayor — Policy Formulation,funded positions,45,45,positions,0,PASS,fresh appendix extraction → database,Appendix C,1,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0055,FY 2025-26,adopted,Department rows,Office of the Mayor — Policy Formulation,total budget,895300000,895300000,cents,0,PASS,fresh appendix extraction → database,Appendix C + Appendix J,1,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0056,FY 2025-26,adopted,Department rows,Board of County Commissioners — Policy Formulation,source row present,1,1,record,0,PASS,fresh appendix extraction → database,Appendix C / Appendix J,1,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0057,FY 2025-26,adopted,Department rows,Board of County Commissioners — Policy Formulation,operating budget,5027900000,5027900000,cents,0,PASS,fresh appendix extraction → database,Appendix C,1,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0058,FY 2025-26,adopted,Department rows,Board of County Commissioners — Policy Formulation,capital budget,0,0,cents,0,PASS,fresh appendix extraction → database,Appendix J,,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-j.pdf,,True
N0059,FY 2025-26,adopted,Department rows,Board of County Commissioners — Policy Formulation,funded positions,294,294,positions,0,PASS,fresh appendix extraction → database,Appendix C,1,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0060,FY 2025-26,adopted,Department rows,Board of County Commissioners — Policy Formulation,total budget,5027900000,5027900000,cents,0,PASS,fresh appendix extraction → database,Appendix C + Appendix J,1,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0061,FY 2025-26,adopted,Department rows,County Attorney's Office — Policy Formulation,source row present,1,1,record,0,PASS,fresh appendix extraction → database,Appendix C / Appendix J,1,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0062,FY 2025-26,adopted,Department rows,County Attorney's Office — Policy Formulation,operating budget,4643000000,4643000000,cents,0,PASS,fresh appendix extraction → database,Appendix C,1,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0063,FY 2025-26,adopted,Department rows,County Attorney's Office — Policy Formulation,capital budget,0,0,cents,0,PASS,fresh appendix extraction → database,Appendix J,,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-j.pdf,,True
N0064,FY 2025-26,adopted,Department rows,County Attorney's Office — Policy Formulation,funded positions,168,168,positions,0,PASS,fresh appendix extraction → database,Appendix C,1,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0065,FY 2025-26,adopted,Department rows,County Attorney's Office — Policy Formulation,total budget,4643000000,4643000000,cents,0,PASS,fresh appendix extraction → database,Appendix C + Appendix J,1,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0066,FY 2025-26,adopted,Department rows,Sheriff — Constitutional Offices,source row present,1,1,record,0,PASS,fresh appendix extraction → database,Appendix C / Appendix J,"18, 21",https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0067,FY 2025-26,adopted,Department rows,Sheriff — Constitutional Offices,operating budget,111800000000,111800000000,cents,0,PASS,fresh appendix extraction → database,Appendix C,21,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0068,FY 2025-26,adopted,Department rows,Sheriff — Constitutional Offices,capital budget,465800000,465800000,cents,0,PASS,fresh appendix extraction → database,Appendix J,18,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-j.pdf,,True
N0069,FY 2025-26,adopted,Department rows,Sheriff — Constitutional Offices,funded positions,4595,4595,positions,0,PASS,fresh appendix extraction → database,Appendix C,21,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0070,FY 2025-26,adopted,Department rows,Sheriff — Constitutional Offices,total budget,112265800000,112265800000,cents,0,PASS,fresh appendix extraction → database,Appendix C + Appendix J,"18, 21",https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0071,FY 2025-26,adopted,Department rows,Supervisor of Elections — Constitutional Offices,source row present,1,1,record,0,PASS,fresh appendix extraction → database,Appendix C / Appendix J,20,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0072,FY 2025-26,adopted,Department rows,Supervisor of Elections — Constitutional Offices,operating budget,4730000000,4730000000,cents,0,PASS,fresh appendix extraction → database,Appendix C,20,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0073,FY 2025-26,adopted,Department rows,Supervisor of Elections — Constitutional Offices,capital budget,0,0,cents,0,PASS,fresh appendix extraction → database,Appendix J,,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-j.pdf,,True
N0074,FY 2025-26,adopted,Department rows,Supervisor of Elections — Constitutional Offices,funded positions,151,151,positions,0,PASS,fresh appendix extraction → database,Appendix C,20,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0075,FY 2025-26,adopted,Department rows,Supervisor of Elections — Constitutional Offices,total budget,4730000000,4730000000,cents,0,PASS,fresh appendix extraction → database,Appendix C + Appendix J,20,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0076,FY 2025-26,adopted,Department rows,Tax Collector — Constitutional Offices,source row present,1,1,record,0,PASS,fresh appendix extraction → database,Appendix C / Appendix J,"18, 20",https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0077,FY 2025-26,adopted,Department rows,Tax Collector — Constitutional Offices,operating budget,0,0,cents,0,PASS,fresh appendix extraction → database,Appendix C,20,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0078,FY 2025-26,adopted,Department rows,Tax Collector — Constitutional Offices,capital budget,0,0,cents,0,PASS,fresh appendix extraction → database,Appendix J,18,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-j.pdf,,True
N0079,FY 2025-26,adopted,Department rows,Tax Collector — Constitutional Offices,funded positions,705,705,positions,0,PASS,fresh appendix extraction → database,Appendix C,20,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0080,FY 2025-26,adopted,Department rows,Tax Collector — Constitutional Offices,total budget,0,0,cents,0,PASS,fresh appendix extraction → database,Appendix C + Appendix J,"18, 20",https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0081,FY 2025-26,adopted,Department rows,Property Appraiser — Constitutional Offices,source row present,1,1,record,0,PASS,fresh appendix extraction → database,Appendix C / Appendix J,21,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0082,FY 2025-26,adopted,Department rows,Property Appraiser — Constitutional Offices,operating budget,6680400000,6680400000,cents,0,PASS,fresh appendix extraction → database,Appendix C,21,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0083,FY 2025-26,adopted,Department rows,Property Appraiser — Constitutional Offices,capital budget,0,0,cents,0,PASS,fresh appendix extraction → database,Appendix J,,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-j.pdf,,True
N0084,FY 2025-26,adopted,Department rows,Property Appraiser — Constitutional Offices,funded positions,428,428,positions,0,PASS,fresh appendix extraction → database,Appendix C,21,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0085,FY 2025-26,adopted,Department rows,Property Appraiser — Constitutional Offices,total budget,6680400000,6680400000,cents,0,PASS,fresh appendix extraction → database,Appendix C + Appendix J,21,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0086,FY 2025-26,adopted,Department rows,Clerk of the Court and Comptroller — Constitutional Offices,source row present,1,1,record,0,PASS,fresh appendix extraction → database,Appendix C / Appendix J,20,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0087,FY 2025-26,adopted,Department rows,Clerk of the Court and Comptroller — Constitutional Offices,operating budget,6500900000,6500900000,cents,0,PASS,fresh appendix extraction → database,Appendix C,20,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0088,FY 2025-26,adopted,Department rows,Clerk of the Court and Comptroller — Constitutional Offices,capital budget,0,0,cents,0,PASS,fresh appendix extraction → database,Appendix J,,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-j.pdf,,True
N0089,FY 2025-26,adopted,Department rows,Clerk of the Court and Comptroller — Constitutional Offices,funded positions,440,440,positions,0,PASS,fresh appendix extraction → database,Appendix C,20,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0090,FY 2025-26,adopted,Department rows,Clerk of the Court and Comptroller — Constitutional Offices,total budget,6500900000,6500900000,cents,0,PASS,fresh appendix extraction → database,Appendix C + Appendix J,20,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0091,FY 2025-26,adopted,Department rows,Information and Technology — Constitutional Offices,source row present,1,1,record,0,PASS,fresh appendix extraction → database,Appendix C / Appendix J,17,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0092,FY 2025-26,adopted,Department rows,Information and Technology — Constitutional Offices,operating budget,0,0,cents,0,PASS,fresh appendix extraction → database,Appendix C,,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0093,FY 2025-26,adopted,Department rows,Information and Technology — Constitutional Offices,capital budget,1778300000,1778300000,cents,0,PASS,fresh appendix extraction → database,Appendix J,17,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-j.pdf,,True
N0094,FY 2025-26,adopted,Department rows,Information and Technology — Constitutional Offices,total budget,1778300000,1778300000,cents,0,PASS,fresh appendix extraction → database,Appendix C + Appendix J,17,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0095,FY 2025-26,adopted,Department rows,People and Internal Operations — Constitutional Offices,source row present,1,1,record,0,PASS,fresh appendix extraction → database,Appendix C / Appendix J,17,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0096,FY 2025-26,adopted,Department rows,People and Internal Operations — Constitutional Offices,operating budget,0,0,cents,0,PASS,fresh appendix extraction → database,Appendix C,,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0097,FY 2025-26,adopted,Department rows,People and Internal Operations — Constitutional Offices,capital budget,3306500000,3306500000,cents,0,PASS,fresh appendix extraction → database,Appendix J,17,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-j.pdf,,True
N0098,FY 2025-26,adopted,Department rows,People and Internal Operations — Constitutional Offices,total budget,3306500000,3306500000,cents,0,PASS,fresh appendix extraction → database,Appendix C + Appendix J,17,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0099,FY 2025-26,adopted,Department rows,Non-Departmental — Constitutional Offices,source row present,1,1,record,0,PASS,fresh appendix extraction → database,Appendix C / Appendix J,"18, 21",https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0100,FY 2025-26,adopted,Department rows,Non-Departmental — Constitutional Offices,operating budget,175500000,175500000,cents,0,PASS,fresh appendix extraction → database,Appendix C,21,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0101,FY 2025-26,adopted,Department rows,Non-Departmental — Constitutional Offices,capital budget,1253100000,1253100000,cents,0,PASS,fresh appendix extraction → database,Appendix J,18,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-j.pdf,,True
N0102,FY 2025-26,adopted,Department rows,Non-Departmental — Constitutional Offices,funded positions,0,0,positions,0,PASS,fresh appendix extraction → database,Appendix C,21,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0103,FY 2025-26,adopted,Department rows,Non-Departmental — Constitutional Offices,total budget,1428600000,1428600000,cents,0,PASS,fresh appendix extraction → database,Appendix C + Appendix J,"18, 21",https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0104,FY 2025-26,adopted,Department rows,Sheriff — Public Safety,source row present,1,1,record,0,PASS,fresh appendix extraction → database,Appendix C / Appendix J,5,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0105,FY 2025-26,adopted,Department rows,Sheriff — Public Safety,operating budget,0,0,cents,0,PASS,fresh appendix extraction → database,Appendix C,5,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0106,FY 2025-26,adopted,Department rows,Sheriff — Public Safety,capital budget,0,0,cents,0,PASS,fresh appendix extraction → database,Appendix J,,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-j.pdf,,True
N0107,FY 2025-26,adopted,Department rows,Sheriff — Public Safety,funded positions,0,0,positions,0,PASS,fresh appendix extraction → database,Appendix C,5,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0108,FY 2025-26,adopted,Department rows,Sheriff — Public Safety,total budget,0,0,cents,0,PASS,fresh appendix extraction → database,Appendix C + Appendix J,5,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0109,FY 2025-26,adopted,Department rows,Clerk of the Court and Comptroller — Public Safety,source row present,1,1,record,0,PASS,fresh appendix extraction → database,Appendix C / Appendix J,5,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0110,FY 2025-26,adopted,Department rows,Clerk of the Court and Comptroller — Public Safety,operating budget,0,0,cents,0,PASS,fresh appendix extraction → database,Appendix C,5,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0111,FY 2025-26,adopted,Department rows,Clerk of the Court and Comptroller — Public Safety,capital budget,0,0,cents,0,PASS,fresh appendix extraction → database,Appendix J,,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-j.pdf,,True
N0112,FY 2025-26,adopted,Department rows,Clerk of the Court and Comptroller — Public Safety,funded positions,0,0,positions,0,PASS,fresh appendix extraction → database,Appendix C,5,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0113,FY 2025-26,adopted,Department rows,Clerk of the Court and Comptroller — Public Safety,total budget,0,0,cents,0,PASS,fresh appendix extraction → database,Appendix C + Appendix J,5,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0114,FY 2025-26,adopted,Department rows,Corrections and Rehabilitation — Public Safety,source row present,1,1,record,0,PASS,fresh appendix extraction → database,Appendix C / Appendix J,"1, 2",https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
